Dataset,Model,Cost,Fold,AABS,ABS,AURC,Abstained Position Count,Coverage,Decided Position Count,Error Capture Rate,Errors Avoided,Full Error Count,Generalized Loss,Optimistic Hamming Accuracy,Optimistic Instance Jaccard,Optimistic Instance-F1,Optimistic Macro-F1,Optimistic Micro-F1,Oracle Gain Hamming Accuracy,Oracle Gain Instance Jaccard,Oracle Gain Instance-F1,Oracle Gain Macro-F1,Oracle Gain Micro-F1,Rejected Counterfactual Macro-F1,Rejected Error Count,Rejected Error Rate,Rejected Position Count,Risk at Coverage,Selective Hamming Accuracy,Selective Macro-F1,Selective Micro-F1,Total Position Count
emotions,MLC_PA_Logistic,0.20,1,0.5027322404371585,0.9836065573770492,0.09918327797138865,368,0.4972677595628415,364,0.7101449275362319,98,138,0.15519125683060106,0.9453551912568307,0.8306010928961749,0.8633879781420766,0.9015715170706096,0.9056603773584906,0.13387978142076506,0.3258196721311476,0.294808743169399,0.29045429826943325,0.2577011936850212,0.604654403567447,98,0.266304347826087,368,0.10989010989010989,0.8901098901098901,0.5220132358063393,0.6428571428571429,732
emotions,MLC_PA_Logistic,0.20,2,0.5266106442577031,0.9831932773109243,0.08176419246389666,376,0.4733893557422969,338,0.8206896551724138,119,145,0.14173669467787112,0.9635854341736695,0.9061624649859945,0.9296918767507002,0.9378939438519392,0.9392523364485982,0.16666666666666663,0.457983193277311,0.41540616246498596,0.347584623542619,0.3322062659878936,0.5828457570525217,119,0.31648936170212766,376,0.07692307692307693,0.9230769230769231,0.45615013006317356,0.6666666666666666,714
emotions,MLC_PA_Logistic,0.20,3,0.516260162601626,0.983739837398374,0.09321133655128853,381,0.483739837398374,357,0.7777777777777778,119,153,0.14932249322493224,0.9539295392953929,0.8495934959349595,0.8807588075880758,0.9085668648807127,0.919047619047619,0.1612466124661246,0.39159891598916,0.3444444444444442,0.33431644227040147,0.30059375371096064,0.569269343447723,119,0.3123359580052493,381,0.09523809523809523,0.9047619047619048,0.5885323826500297,0.6458333333333334,738
emotions,MLC_PA_Logistic,0.20,4,0.5208333333333334,1.0,0.08396164582477526,375,0.4791666666666667,345,0.8551724137931035,124,145,0.13333333333333333,0.9708333333333333,0.9138888888888889,0.9383333333333334,0.9498455160150082,0.9517241379310345,0.17222222222222217,0.4444444444444444,0.3944444444444445,0.3465494971617138,0.3264011405150138,0.583110064055186,124,0.33066666666666666,375,0.06086956521739131,0.9391304347826087,0.5945809092867916,0.7407407407407407,720
emotions,MLC_PA_Logistic,0.20,5,0.481651376146789,0.963302752293578,0.08933963791229649,315,0.518348623853211,339,0.7851851851851852,106,135,0.14067278287461776,0.9556574923547401,0.8914373088685016,0.9220183486238531,0.9298809779902265,0.9333333333333333,0.1620795107033639,0.4013761467889909,0.35779816513761464,0.3229107966552198,0.2876640419947507,0.5734454568807894,106,0.33650793650793653,315,0.0855457227138643,0.9144542772861357,0.6514277389277389,0.7238095238095238,654
emotions,MLC_PA_Logistic,0.25,1,0.4030054644808743,0.9262295081967213,0.09918327797138865,295,0.5969945355191257,437,0.6159420289855072,85,138,0.17315573770491804,0.9275956284153005,0.7855191256830601,0.8292349726775956,0.8643170355060311,0.8747044917257684,0.11612021857923494,0.28073770491803285,0.260655737704918,0.2531998167048548,0.22674530805229898,0.5819313240365872,85,0.288135593220339,295,0.12128146453089245,0.8787185354691076,0.6153904789307162,0.6787878787878788,732
emotions,MLC_PA_Logistic,0.25,2,0.42296918767507,0.9663865546218487,0.08176419246389666,302,0.5770308123249299,412,0.7517241379310344,109,145,0.1561624649859944,0.9495798319327731,0.858543417366947,0.8843137254901959,0.9132506553374052,0.9138755980861244,0.1526610644257702,0.41036414565826346,0.3700280112044817,0.322941335028085,0.3068295276254198,0.5712915672835129,109,0.3609271523178808,302,0.08737864077669903,0.912621359223301,0.5789022805151837,0.6896551724137931,714
emotions,MLC_PA_Logistic,0.25,3,0.4132791327913279,0.975609756097561,0.09321133655128853,305,0.5867208672086721,433,0.7124183006535948,109,153,0.16294037940379405,0.940379403794038,0.8197831978319783,0.8601626016260162,0.8800796146979025,0.8952380952380953,0.14769647696476962,0.36178861788617883,0.32384823848238464,0.3058291920875913,0.2767842299014369,0.5253120110843688,109,0.35737704918032787,305,0.10161662817551963,0.8983833718244804,0.642949542949543,0.7027027027027027,738
emotions,MLC_PA_Logistic,0.25,4,0.42777777777777776,0.9916666666666667,0.08396164582477526,308,0.5722222222222222,412,0.7862068965517242,114,145,0.15,0.9569444444444445,0.8777777777777778,0.9049999999999999,0.9238678127093366,0.9277389277389277,0.15833333333333333,0.4083333333333333,0.36111111111111105,0.3205717938560422,0.30241593032290703,0.560767603290068,114,0.37012987012987014,308,0.07524271844660194,0.9247572815533981,0.6146708683473389,0.743801652892562,720
emotions,MLC_PA_Logistic,0.25,5,0.39143730886850153,0.9357798165137615,0.08933963791229649,256,0.6085626911314985,398,0.6888888888888889,93,135,0.1620795107033639,0.9357798165137614,0.8486238532110092,0.8896024464831804,0.8944294740972963,0.9009433962264151,0.14220183486238525,0.3585626911314985,0.32538226299694195,0.28745929276228965,0.2552741048878324,0.5489855104101592,93,0.36328125,256,0.10552763819095477,0.8944723618090452,0.6537955281827831,0.7162162162162162,654
