Dataset,Model,Cost,Fold,Scope,Reviewer Accuracy,AURC,Captured Error Count,Cost-Sensitive Utility,Coverage,Error Capture Lift,Error Capture Rate,Full Error Count,Generalized Loss,Immediate Hamming Accuracy,Immediate Instance-F1,Immediate Macro-F1,Optimistic Gain Hamming Accuracy,Optimistic Gain Macro-F1,Optimistic Hamming Accuracy,Optimistic Macro-F1,Random-Rejection Expected Capture,Rejected Error Rate,Review Load Case,Review Load Position,Reviewed Position Count,Risk at Coverage,Selective Hamming Accuracy,Selective Risk
emotions,GSI_MLC_PA_MLP,0.30,5,Operating Point,,0.12176390762747982,142,,0.3058103975535168,1.3369612162045434,0.9281045751633987,153,0.2250764525993884,0.7660550458715596,0.6487549148099607,0.6408670402212228,0.21712538226299694,0.33326875326968186,0.9831804281345565,0.9741357934909046,0.6941896024464832,0.31277533039647576,1.0,0.6941896024464832,454,0.05500000000000005,0.945,0.05500000000000005
emotions,GSI_MLC_PA_MLP,0.35,1,Operating Point,,0.15268672028485147,187,,0.17759562841530055,1.1720724731993013,0.9639175257731959,194,0.2974043715846994,0.7349726775956285,0.5927400468384076,0.6289174778713248,0.25546448087431695,0.3553527198217806,0.9904371584699454,0.9842701976931054,0.8224043715846995,0.3106312292358804,0.9918032786885246,0.8224043715846995,602,0.05384615384615388,0.9461538461538461,0.05384615384615388
emotions,GSI_MLC_PA_MLP,0.35,2,Operating Point,,0.13980248834476997,147,,0.2507002801120448,1.2338564627049904,0.9245283018867925,159,0.2790616246498599,0.7773109243697479,0.6235694277711085,0.6594727273234656,0.2058823529411764,0.31031704065709176,0.9831932773109243,0.9697897679805574,0.7492997198879552,0.27476635514018694,1.0,0.7492997198879552,535,0.06703910614525144,0.9329608938547486,0.06703910614525144
emotions,GSI_MLC_PA_MLP,0.35,3,Operating Point,,0.13848735864844627,166,,0.2940379403794038,1.306333973128599,0.9222222222222223,180,0.26605691056910563,0.7560975609756098,0.6075106465350367,0.5956883051405523,0.22493224932249323,0.367895072098647,0.981029810298103,0.9635833772391993,0.7059620596205962,0.31861804222648754,1.0,0.7059620596205962,521,0.06451612903225801,0.935483870967742,0.06451612903225801
emotions,GSI_MLC_PA_MLP,0.35,4,Operating Point,,0.12990116986340408,159,,0.30694444444444446,1.3109647867162897,0.9085714285714286,175,0.26479166666666665,0.7569444444444444,0.6643253968253968,0.6788791079533114,0.22083333333333333,0.2833784477442659,0.9777777777777777,0.9622575556975773,0.6930555555555555,0.3186372745490982,1.0,0.6930555555555555,499,0.07239819004524883,0.9276018099547512,0.07239819004524883
emotions,GSI_MLC_PA_MLP,0.35,5,Operating Point,,0.12176390762747982,142,,0.3058103975535168,1.3369612162045434,0.9281045751633987,153,0.2597859327217125,0.7660550458715596,0.6487549148099607,0.6408670402212228,0.21712538226299694,0.33326875326968186,0.9831804281345565,0.9741357934909046,0.6941896024464832,0.31277533039647576,1.0,0.6941896024464832,454,0.05500000000000005,0.945,0.05500000000000005
emotions,GSI_MLC_PA_MLP,0.40,1,Operating Point,,0.15268672028485147,44,,0.7745901639344263,1.0061855670103093,0.2268041237113402,194,0.5491803278688524,0.7349726775956285,0.5927400468384076,0.6289174778713248,-0.19398907103825147,0.016588042669734238,0.540983606557377,0.645505520541059,0.22540983606557377,0.26666666666666666,0.9508196721311475,0.22540983606557377,165,0.5925925925925926,0.40740740740740744,0.5925925925925926
emotions,GSI_MLC_PA_MLP,0.40,2,Operating Point,,0.13980248834476997,88,,0.5448179271708683,1.2159071117561684,0.5534591194968553,159,0.4103641456582633,0.7773109243697479,0.6235694277711085,0.6594727273234656,-0.0056022408963585235,0.1559249841268774,0.7717086834733894,0.815397711450343,0.45518207282913165,0.27076923076923076,0.9243697478991597,0.45518207282913165,325,0.41902313624678666,0.5809768637532133,0.41902313624678666
emotions,GSI_MLC_PA_MLP,0.40,3,Operating Point,,0.13848735864844627,108,,0.5853658536585366,1.4470588235294117,0.6,180,0.43143631436314367,0.7560975609756098,0.6075106465350367,0.5956883051405523,-0.02168021680216803,0.1738793838395376,0.7344173441734417,0.7695676889800899,0.4146341463414634,0.35294117647058826,0.991869918699187,0.4146341463414634,306,0.4537037037037037,0.5462962962962963,0.4537037037037037
emotions,GSI_MLC_PA_MLP,0.40,4,Operating Point,,0.12990116986340408,129,,0.45555555555555555,1.3539358600583091,0.7371428571428571,175,0.35805555555555557,0.7569444444444444,0.6643253968253968,0.6788791079533114,0.10277777777777786,0.1927203136078709,0.8597222222222223,0.8715994215611823,0.5444444444444444,0.32908163265306123,0.9833333333333333,0.5444444444444444,392,0.3079268292682926,0.6920731707317074,0.3079268292682926
