Dataset,Model,Fold,Bin,Absolute Gap,Count,Lower Bound,Mean Predicted Probability,Observed Positive Rate,Upper Bound
emotions,CC_MLP,5,4,0.2474320628173611,193,0.4,0.4546859488277238,0.20725388601036268,0.5
emotions,CC_MLP,5,5,0.02397142113118933,207,0.5,0.5457105515659719,0.5217391304347826,0.6
emotions,CC_MLP,5,6,0.07797910987514334,73,0.6,0.6343496572481443,0.7123287671232876,0.7
emotions,CC_MLP,5,7,0.2113892010280064,14,0.7,0.7171822275434222,0.9285714285714286,0.8
emotions,CC_MLP,5,8,,0,0.8,,,0.9
emotions,CC_MLP,5,9,,0,0.9,,,1.0
emotions,MLC_PA_Logistic,1,0,0.003887865159612147,192,0.0,0.04555453182627881,0.041666666666666664,0.1
emotions,MLC_PA_Logistic,1,1,0.021724043975746815,126,0.1,0.15287913062742778,0.1746031746031746,0.2
emotions,MLC_PA_Logistic,1,2,0.09125959858298302,100,0.2,0.251259598582983,0.16,0.3
emotions,MLC_PA_Logistic,1,3,0.019037270624386593,76,0.3,0.34798463904543925,0.32894736842105265,0.4
emotions,MLC_PA_Logistic,1,4,0.09578305132248821,68,0.4,0.44872422779307647,0.35294117647058826,0.5
emotions,MLC_PA_Logistic,1,5,0.14778302510579422,45,0.5,0.5411058637830947,0.6888888888888889,0.6
emotions,MLC_PA_Logistic,1,6,0.08213729016921101,34,0.6,0.6531568274778479,0.7352941176470589,0.7
emotions,MLC_PA_Logistic,1,7,0.025089866585201737,45,0.7,0.752687911192576,0.7777777777777778,0.8
emotions,MLC_PA_Logistic,1,8,0.10339826922262862,31,0.8,0.8453337530935964,0.7419354838709677,0.9
emotions,MLC_PA_Logistic,1,9,0.08631619215011599,15,0.9,0.9529828588167827,0.8666666666666667,1.0
emotions,MLC_PA_Logistic,2,0,0.022841079435552115,174,0.0,0.04582958518267855,0.022988505747126436,0.1
emotions,MLC_PA_Logistic,2,1,0.034363390607688254,131,0.1,0.14886720740158138,0.11450381679389313,0.2
emotions,MLC_PA_Logistic,2,2,0.027646343118136685,97,0.2,0.24414118847896144,0.21649484536082475,0.3
emotions,MLC_PA_Logistic,2,3,0.04164768959346571,95,0.3,0.3478259946170606,0.3894736842105263,0.4
emotions,MLC_PA_Logistic,2,4,0.00673075721544375,68,0.4,0.4491515957257327,0.45588235294117646,0.5
emotions,MLC_PA_Logistic,2,5,0.012229767938454983,48,0.5,0.550270232061545,0.5625,0.6
emotions,MLC_PA_Logistic,2,6,0.17218301235101163,39,0.6,0.6483298081618089,0.8205128205128205,0.7
emotions,MLC_PA_Logistic,2,7,0.18351823091506958,29,0.7,0.7475162518435511,0.9310344827586207,0.8
emotions,MLC_PA_Logistic,2,8,0.1334763595036098,21,0.8,0.8477620737893241,0.7142857142857143,0.9
emotions,MLC_PA_Logistic,2,9,0.013781234622001648,12,0.9,0.9304479012886683,0.9166666666666666,1.0
emotions,MLC_PA_Logistic,3,0,0.003573690536004988,190,0.0,0.045678953693899724,0.042105263157894736,0.1
emotions,MLC_PA_Logistic,3,1,0.003027000231668353,128,0.1,0.14365200023166835,0.140625,0.2
emotions,MLC_PA_Logistic,3,2,0.07533609502493066,94,0.2,0.24554886098237746,0.1702127659574468,0.3
